"time{s}","Controller\ControllerPan\SetPointPan","Plant\Plant\ThetaPan\q{rad}","Controller\ControllerPan\PID_Pan\output{A}"
0.195,0,0,0
0.196,0,0,0
0.197,0,0,0
0.198,0,0,0
0.199,0,0,0
0.2,0,0,0
0.201,0,0,0
0.202,0,0,0
0.203,0,0,0
0.204,0,0,0
0.205,0,0,0
0.206,0,0,0
0.207,0,0,0
0.208,0,0,0
0.209,0,0,0
0.21,0,0,0
0.211,0,0,0
0.212,0,0,0
0.213,0,0,0
0.214,0,0,0
0.215,0,0,0
0.216,0,0,0
0.217,0,0,0
0.218,0,0,0
0.219,0,0,0
0.22,0,0,0
0.221,0,0,0
0.222,0,0,0
0.223,0,0,0
0.224,0,0,0
0.225,0,0,0
0.226,0,0,0
0.227,0,0,0
0.228,0,0,0
0.229,0,0,0
0.23,0,0,0
0.231,0,0,0
0.232,0,0,0
0.233,0,0,0
0.234,0,0,0
0.235,0,0,0
0.236,0,0,0
0.237,0,0,0
0.238,0,0,0
0.239,0,0,0
0.24,0,0,0
0.241,0,0,0
0.242,0,0,0
0.243,0,0,0
0.244,0,0,0
0.245,0,0,0
0.246,0,0,0
0.247,0,0,0
0.248,0,0,0
0.249,0,0,0
0.25,0,0,0
0.251,0,0,0
0.252,0,0,0
0.253,0,0,0
0.254,0,0,0
0.255,0,0,0
0.256,0,0,0
0.257,0,0,0
0.258,0,0,0
0.259,0,0,0
0.26,0,0,0
0.261,0,0,0
0.262,0,0,0
0.263,0,0,0
0.264,0,0,0
0.265,0,0,0
0.266,0,0,0
0.267,0,0,0
0.268,0,0,0
0.269,0,0,0
0.27,0,0,0
0.271,0,0,0
0.272,0,0,0
0.273,0,0,0
0.274,0,0,0
0.275,0,0,0
0.276,0,0,0
0.277,0,0,0
0.278,0,0,0
0.279,0,0,0
0.28,0,0,0
0.281,0,0,0
0.282,0,0,0
0.283,0,0,0
0.284,0,0,0
0.285,0,0,0
0.286,0,0,0
0.287,0,0,0
0.288,0,0,0
0.289,0,0,0
0.29,0,0,0
0.291,0,0,0
0.292,0,0,0
0.293,0,0,0
0.294,0,0,0
0.295,0,0,0
0.296,0,0,0
0.297,0,0,0
0.298,0,0,0
0.299,0,0,0
0.3,0,0,0
0.301,0,0,0
0.302,0,0,0
0.303,0,0,0
0.304,0,0,0
0.305,0,0,0
0.306,0,0,0
0.307,0,0,0
0.308,0,0,0
0.309,0,0,0
0.31,0,0,0
0.311,0,0,0
0.312,0,0,0
0.313,0,0,0
0.314,0,0,0
0.315,0,0,0
0.316,0,0,0
0.317,0,0,0
0.318,0,0,0
0.319,0,0,0
0.32,0,0,0
0.321,0,0,0
0.322,0,0,0
0.323,0,0,0
0.324,0,0,0
0.325,0,0,0
0.326,0,0,0
0.327,0,0,0
0.328,0,0,0
0.329,0,0,0
0.33,0,0,0
0.331,0,0,0
0.332,0,0,0
0.333,0,0,0
0.334,0,0,0
0.335,0,0,0
0.336,0,0,0
0.337,0,0,0
0.338,0,0,0
0.339,0,0,0
0.34,0,0,0
0.341,0,0,0
0.342,0,0,0
0.343,0,0,0
0.344,0,0,0
0.345,0,0,0
0.346,0,0,0
0.347,0,0,0
0.348,0,0,0
0.349,0,0,0
0.35,0,0,0
0.351,0,0,0
0.352,0,0,0
0.353,0,0,0
0.354,0,0,0
0.355,0,0,0
0.356,0,0,0
0.357,0,0,0
0.358,0,0,0
0.359,0,0,0
0.36,0,0,0
0.361,0,0,0
0.362,0,0,0
0.363,0,0,0
0.364,0,0,0
0.365,0,0,0
0.366,0,0,0
0.367,0,0,0
0.368,0,0,0
0.369,0,0,0
0.37,0,0,0
0.371,0,0,0
0.372,0,0,0
0.373,0,0,0
0.374,0,0,0
0.375,0,0,0
0.376,0,0,0
0.377,0,0,0
0.378,0,0,0
0.379,0,0,0
0.38,0,0,0
0.381,0,0,0
0.382,0,0,0
0.383,0,0,0
0.384,0,0,0
0.385,0,0,0
0.386,0,0,0
0.387,0,0,0
0.388,0,0,0
0.389,0,0,0
0.39,0,0,0
0.391,0,0,0
0.392,0,0,0
0.393,0,0,0
0.394,0,0,0
0.395,0,0,0
0.396,0,0,0
0.397,0,0,0
0.398,0,0,0
0.399,0,0,0
0.4,0,0,0
0.401,0,0,0
0.402,0,0,0
0.403,0,0,0
0.404,0,0,0
0.405,0,0,0
0.406,0,0,0
0.407,0,0,0
0.408,0,0,0
0.409,0,0,0
0.41,0,0,0
0.411,0,0,0
0.412,0,0,0
0.413,0,0,0
0.414,0,0,0
0.415,0,0,0
0.416,0,0,0
0.417,0,0,0
0.418,0,0,0
0.419,0,0,0
0.42,0,0,0
0.421,0,0,0
0.422,0,0,0
0.423,0,0,0
0.424,0,0,0
0.425,0,0,0
0.426,0,0,0
0.427,0,0,0
0.428,0,0,0
0.429,0,0,0
0.43,0,0,0
0.431,0,0,0
0.432,0,0,0
0.433,0,0,0
0.434,0,0,0
0.435,0,0,0
0.436,0,0,0
0.437,0,0,0
0.438,0,0,0
0.439,0,0,0
0.44,0,0,0
0.441,0,0,0
0.442,0,0,0
0.443,0,0,0
0.444,0,0,0
0.445,0,0,0
0.446,0,0,0
0.447,0,0,0
0.448,0,0,0
0.449,0,0,0
0.45,0,0,0
0.451,0,0,0
0.452,0,0,0
0.453,0,0,0
0.454,0,0,0
0.455,0,0,0
0.456,0,0,0
0.457,0,0,0
0.458,0,0,0
0.459,0,0,0
0.46,0,0,0
0.461,0,0,0
0.462,0,0,0
0.463,0,0,0
0.464,0,0,0
0.465,0,0,0
0.466,0,0,0
0.467,0,0,0
0.468,0,0,0
0.469,0,0,0
0.47,0,0,0
0.471,0,0,0
0.472,0,0,0
0.473,0,0,0
0.474,0,0,0
0.475,0,0,0
0.476,0,0,0
0.477,0,0,0
0.478,0,0,0
0.479,0,0,0
0.48,0,0,0
0.481,0,0,0
0.482,0,0,0
0.483,0,0,0
0.484,0,0,0
0.485,0,0,0
0.486,0,0,0
0.487,0,0,0
0.488,0,0,0
0.489,0,0,0
0.49,0,0,0
0.491,0,0,0
0.492,0,0,0
0.493,0,0,0
0.494,0,0,0
0.495,0,0,0
0.496,0,0,0
0.497,0,0,0
0.498,0,0,0
0.499,0,0,0
0.5,0,0,0
0.501,0,0,0
0.502,0,0,0
0.503,0,0,0
0.504,0,0,0
0.505,0,0,0
0.506,0,0,0
0.507,0,0,0
0.508,0,0,0
0.509,0,0,0
0.51,0,0,0
0.511,0,0,0
0.512,0,0,0
0.513,0,0,0
0.514,0,0,0
0.515,0,0,0
0.516,0,0,0
0.517,0,0,0
0.518,0,0,0
0.519,0,0,0
0.52,0,0,0
0.521,0,0,0
0.522,0,0,0
0.523,0,0,0
0.524,0,0,0
0.525,0,0,0
0.526,0,0,0
0.527,0,0,0
0.528,0,0,0
0.529,0,0,0
0.53,0,0,0
0.531,0,0,0
0.532,0,0,0
0.533,0,0,0
0.534,0,0,0
0.535,0,0,0
0.536,0,0,0
0.537,0,0,0
0.538,0,0,0
0.539,0,0,0
0.54,0,0,0
0.541,0,0,0
0.542,0,0,0
0.543,0,0,0
0.544,0,0,0
0.545,0,0,0
0.546,0,0,0
0.547,0,0,0
0.548,0,0,0
0.549,0,0,0
0.55,0,0,0
0.551,0,0,0
0.552,0,0,0
0.553,0,0,0
0.554,0,0,0
0.555,0,0,0
0.556,0,0,0
0.557,0,0,0
0.558,0,0,0
0.559,0,0,0
0.56,0,0,0
0.561,0,0,0
0.562,0,0,0
0.563,0,0,0
0.564,0,0,0
0.565,0,0,0
0.566,0,0,0
0.567,0,0,0
0.568,0,0,0
0.569,0,0,0
0.57,0,0,0
0.571,0,0,0
0.572,0,0,0
0.573,0,0,0
0.574,0,0,0
0.575,0,0,0
0.576,0,0,0
0.577,0,0,0
0.578,0,0,0
0.579,0,0,0
0.58,0,0,0
0.581,0,0,0
0.582,0,0,0
0.583,0,0,0
0.584,0,0,0
0.585,0,0,0
0.586,0,0,0
0.587,0,0,0
0.588,0,0,0
0.589,0,0,0
0.59,0,0,0
0.591,0,0,0
0.592,0,0,0
0.593,0,0,0
0.594,0,0,0
0.595,0,0,0
0.596,0,0,0
0.597,0,0,0
0.598,0,0,0
0.599,0,0,0
0.6,0,0,0
0.601,0,0,0
0.602,0,0,0
0.603,0,0,0
0.604,0,0,0
0.605,0,0,0
0.606,0,0,0
0.607,0,0,0
0.608,0,0,0
0.609,0,0,0
0.61,0,0,0
0.611,0,0,0
0.612,0,0,0
0.613,0,0,0
0.614,0,0,0
0.615,0,0,0
0.616,0,0,0
0.617,0,0,0
0.618,0,0,0
0.619,0,0,0
0.62,0,0,0
0.621,0,0,0
0.622,0,0,0
0.623,0,0,0
0.624,0,0,0
0.625,0,0,0
0.626,0,0,0
0.627,0,0,0
0.628,0,0,0
0.629,0,0,0
0.63,0,0,0
0.631,0,0,0
0.632,0,0,0
0.633,0,0,0
0.634,0,0,0
0.635,0,0,0
0.636,0,0,0
0.637,0,0,0
0.638,0,0,0
0.639,0,0,0
0.64,0,0,0
0.641,0,0,0
0.642,0,0,0
0.643,0,0,0
0.644,0,0,0
0.645,0,0,0
0.646,0,0,0
0.647,0,0,0
0.648,0,0,0
0.649,0,0,0
0.65,0,0,0
0.651,0,0,0
0.652,0,0,0
0.653,0,0,0
0.654,0,0,0
0.655,0,0,0
0.656,0,0,0
0.657,0,0,0
0.658,0,0,0
0.659,0,0,0
0.66,0,0,0
0.661,0,0,0
0.662,0,0,0
0.663,0,0,0
0.664,0,0,0
0.665,0,0,0
0.666,0,0,0
0.667,0,0,0
0.668,0,0,0
0.669,0,0,0
0.67,0,0,0
0.671,0,0,0
0.672,0,0,0
0.673,0,0,0
0.674,0,0,0
0.675,0,0,0
0.676,0,0,0
0.677,0,0,0
0.678,0,0,0
0.679,0,0,0
0.68,0,0,0
0.681,0,0,0
0.682,0,0,0
0.683000000000001,0,0,0
0.684000000000001,0,0,0
0.685000000000001,0,0,0
0.686000000000001,0,0,0
0.687000000000001,0,0,0
0.688000000000001,0,0,0
0.689000000000001,0,0,0
0.690000000000001,0,0,0
0.691000000000001,0,0,0
0.692000000000001,0,0,0
0.693000000000001,0,0,0
0.694000000000001,0,0,0
0.695000000000001,0,0,0
0.696000000000001,0,0,0
0.697000000000001,0,0,0
0.698000000000001,0,0,0
0.699000000000001,0,0,0
0.700000000000001,0,0,0
0.701000000000001,0,0,0
0.702000000000001,0,0,0
0.703000000000001,0,0,0
0.704000000000001,0,0,0
0.705000000000001,0,0,0
0.706000000000001,0,0,0
0.707000000000001,0,0,0
0.708000000000001,0,0,0
0.709000000000001,0,0,0
0.710000000000001,0,0,0
0.711000000000001,0,0,0
0.712000000000001,0,0,0
0.713000000000001,0,0,0
0.714000000000001,0,0,0
0.715000000000001,0,0,0
0.716000000000001,0,0,0
0.717000000000001,0,0,0
0.718000000000001,0,0,0
0.719000000000001,0,0,0
0.720000000000001,0,0,0
0.721000000000001,0,0,0
0.722000000000001,0,0,0
0.723000000000001,0,0,0
0.724000000000001,0,0,0
0.725000000000001,0,0,0
0.726000000000001,0,0,0
0.727000000000001,0,0,0
0.728000000000001,0,0,0
0.729000000000001,0,0,0
0.730000000000001,0,0,0
0.731000000000001,0,0,0
0.732000000000001,0,0,0
0.733000000000001,0,0,0
0.734000000000001,0,0,0
0.735000000000001,0,0,0
0.736000000000001,0,0,0
0.737000000000001,0,0,0
0.738000000000001,0,0,0
0.739000000000001,0,0,0
0.740000000000001,0,0,0
0.741000000000001,0,0,0
0.742000000000001,0,0,0
0.743000000000001,0,0,0
0.744000000000001,0,0,0
0.745000000000001,0,0,0
0.746000000000001,0,0,0
0.747000000000001,0,0,0
0.748000000000001,0,0,0
0.749000000000001,0,0,0
0.750000000000001,0,0,0
0.751000000000001,0,0,0
0.752000000000001,0,0,0
0.753000000000001,0,0,0
0.754000000000001,0,0,0
0.755000000000001,0,0,0
0.756000000000001,0,0,0
0.757000000000001,0,0,0
0.758000000000001,0,0,0
0.759000000000001,0,0,0
0.760000000000001,0,0,0
0.761000000000001,0,0,0
0.762000000000001,0,0,0
0.763000000000001,0,0,0
0.764000000000001,0,0,0
0.765000000000001,0,0,0
0.766000000000001,0,0,0
0.767000000000001,0,0,0
0.768000000000001,0,0,0
0.769000000000001,0,0,0
0.770000000000001,0,0,0
0.771000000000001,0,0,0
0.772000000000001,0,0,0
0.773000000000001,0,0,0
0.774000000000001,0,0,0
0.775000000000001,0,0,0
0.776000000000001,0,0,0
0.777000000000001,0,0,0
0.778000000000001,0,0,0
0.779000000000001,0,0,0
0.780000000000001,0,0,0
0.781000000000001,0,0,0
0.782000000000001,0,0,0
0.783000000000001,0,0,0
0.784000000000001,0,0,0
0.785000000000001,0,0,0
0.786000000000001,0,0,0
0.787000000000001,0,0,0
0.788000000000001,0,0,0
0.789000000000001,0,0,0
0.790000000000001,0,0,0
0.791000000000001,0,0,0
0.792000000000001,0,0,0
0.793000000000001,0,0,0
0.794000000000001,0,0,0
0.795000000000001,0,0,0
0.796000000000001,0,0,0
0.797000000000001,0,0,0
0.798000000000001,0,0,0
0.799000000000001,0,0,0
0.800000000000001,0,0,0
0.801000000000001,0,0,0
0.802000000000001,0,0,0
0.803000000000001,0,0,0
0.804000000000001,0,0,0
0.805000000000001,0,0,0
0.806000000000001,0,0,0
0.807000000000001,0,0,0
0.808000000000001,0,0,0
0.809000000000001,0,0,0
0.810000000000001,0,0,0
0.811000000000001,0,0,0
0.812000000000001,0,0,0
0.813000000000001,0,0,0
0.814000000000001,0,0,0
0.815000000000001,0,0,0
0.816000000000001,0,0,0
0.817000000000001,0,0,0
0.818000000000001,0,0,0
0.819000000000001,0,0,0
0.820000000000001,0,0,0
0.821000000000001,0,0,0
0.822000000000001,0,0,0
0.823000000000001,0,0,0
0.824000000000001,0,0,0
0.825000000000001,0,0,0
0.826000000000001,0,0,0
0.827000000000001,0,0,0
0.828000000000001,0,0,0
0.829000000000001,0,0,0
0.830000000000001,0,0,0
0.831000000000001,0,0,0
0.832000000000001,0,0,0
0.833000000000001,0,0,0
0.834000000000001,0,0,0
0.835000000000001,0,0,0
0.836000000000001,0,0,0
0.837000000000001,0,0,0
0.838000000000001,0,0,0
0.839000000000001,0,0,0
0.840000000000001,0,0,0
0.841000000000001,0,0,0
0.842000000000001,0,0,0
0.843000000000001,0,0,0
0.844000000000001,0,0,0
0.845000000000001,0,0,0
0.846000000000001,0,0,0
0.847000000000001,0,0,0
0.848000000000001,0,0,0
0.849000000000001,0,0,0
0.850000000000001,0,0,0
0.851000000000001,0,0,0
0.852000000000001,0,0,0
0.853000000000001,0,0,0
0.854000000000001,0,0,0
0.855000000000001,0,0,0
0.856000000000001,0,0,0
0.857000000000001,0,0,0
0.858000000000001,0,0,0
0.859000000000001,0,0,0
0.860000000000001,0,0,0
0.861000000000001,0,0,0
0.862000000000001,0,0,0
0.863000000000001,0,0,0
0.864000000000001,0,0,0
0.865000000000001,0,0,0
0.866000000000001,0,0,0
0.867000000000001,0,0,0
0.868000000000001,0,0,0
0.869000000000001,0,0,0
0.870000000000001,0,0,0
0.871000000000001,0,0,0
0.872000000000001,0,0,0
0.873000000000001,0,0,0
0.874000000000001,0,0,0
0.875000000000001,0,0,0
0.876000000000001,0,0,0
0.877000000000001,0,0,0
0.878000000000001,0,0,0
0.879000000000001,0,0,0
0.880000000000001,0,0,0
0.881000000000001,0,0,0
0.882000000000001,0,0,0
0.883000000000001,0,0,0
0.884000000000001,0,0,0
0.885000000000001,0,0,0
0.886000000000001,0,0,0
0.887000000000001,0,0,0
0.888000000000001,0,0,0
0.889000000000001,0,0,0
0.890000000000001,0,0,0
0.891000000000001,0,0,0
0.892000000000001,0,0,0
0.893000000000001,0,0,0
0.894000000000001,0,0,0
0.895000000000001,0,0,0
0.896000000000001,0,0,0
0.897000000000001,0,0,0
0.898000000000001,0,0,0
0.899000000000001,0,0,0
0.900000000000001,0,0,0
0.901000000000001,0,0,0
0.902000000000001,0,0,0
0.903000000000001,0,0,0
0.904000000000001,0,0,0
0.905000000000001,0,0,0
0.906000000000001,0,0,0
0.907000000000001,0,0,0
0.908000000000001,0,0,0
0.909000000000001,0,0,0
0.910000000000001,0,0,0
0.911000000000001,0,0,0
0.912000000000001,0,0,0
0.913000000000001,0,0,0
0.914000000000001,0,0,0
0.915000000000001,0,0,0
0.916000000000001,0,0,0
0.917000000000001,0,0,0
0.918000000000001,0,0,0
0.919000000000001,0,0,0
0.920000000000001,0,0,0
0.921000000000001,0,0,0
0.922000000000001,0,0,0
0.923000000000001,0,0,0
0.924000000000001,0,0,0
0.925000000000001,0,0,0
0.926000000000001,0,0,0
0.927000000000001,0,0,0
0.928000000000001,0,0,0
0.929000000000001,0,0,0
0.930000000000001,0,0,0
0.931000000000001,0,0,0
0.932000000000001,0,0,0
0.933000000000001,0,0,0
0.934000000000001,0,0,0
0.935000000000001,0,0,0
0.936000000000001,0,0,0
0.937000000000001,0,0,0
0.938000000000001,0,0,0
0.939000000000001,0,0,0
0.940000000000001,0,0,0
0.941000000000001,0,0,0
0.942000000000001,0,0,0
0.943000000000001,0,0,0
0.944000000000001,0,0,0
0.945000000000001,0,0,0
0.946000000000001,0,0,0
0.947000000000001,0,0,0
0.948000000000001,0,0,0
0.949000000000001,0,0,0
0.950000000000001,0,0,0
0.951000000000001,0,0,0
0.952000000000001,0,0,0
0.953000000000001,0,0,0
0.954000000000001,0,0,0
0.955000000000001,0,0,0
0.956000000000001,0,0,0
0.957000000000001,0,0,0
0.958000000000001,0,0,0
0.959000000000001,0,0,0
0.960000000000001,0,0,0
0.961000000000001,0,0,0
0.962000000000001,0,0,0
0.963000000000001,0,0,0
0.964000000000001,0,0,0
0.965000000000001,0,0,0
0.966000000000001,0,0,0
0.967000000000001,0,0,0
0.968000000000001,0,0,0
0.969000000000001,0,0,0
0.970000000000001,0,0,0
0.971000000000001,0,0,0
0.972000000000001,0,0,0
0.973000000000001,0,0,0
0.974000000000001,0,0,0
0.975000000000001,0,0,0
0.976000000000001,0,0,0
0.977000000000001,0,0,0
0.978000000000001,0,0,0
0.979000000000001,0,0,0
0.980000000000001,0,0,0
0.981000000000001,0,0,0
0.982000000000001,0,0,0
0.983000000000001,0,0,0
0.984000000000001,0,0,0
0.985000000000001,0,0,0
0.986000000000001,0,0,0
0.987000000000001,0,0,0
0.988000000000001,0,0,0
0.989000000000001,0,0,0
0.990000000000001,0,0,0
0.991000000000001,0,0,0
0.992000000000001,0,0,0
0.993000000000001,0,0,0
0.994000000000001,0,0,0
0.995000000000001,0,0,0
0.996000000000001,0,0,0
0.997000000000001,0,0,0
0.998000000000001,0,0,0
0.999000000000001,0,0,0
1,0.12,0,0.36
1,0.12,0,0.36
1.001,0.12,0,0.32760036
1.002,0.12,0.000328876019724013,0.297454059540828
1.003,0.12,0.000956292521237858,0.269416904014984
1.004,0.12,0.00185404047577011,0.243353648895508
1.005,0.12,0.00299590086992484,0.219137450408543
1.006,0.12,0.00435751669407957,0.196649349787248
1.007,0.12,0.00591627289212438,0.175777789056963
1.008,0.12,0.00765118378354349,0.156418156426648
1.009,0.12,0.00954278749874175,0.138472359479064
1.01,0.12,0.0115730469965938,0.121848424462474
1.011,0.12,0.0137252572595552,0.106460120090218
1.012,0.12,0.0159839582864264,0.0922266043517462
1.013,0.12,0.018334853526101,0.079072092930045
1.014,0.12,0.0207647334174508,0.0669255479060933
1.015,0.12,0.0232614037209899,0.0557203855115435
1.016,0.12,0.0258136183471953,0.0453942017663904
1.017,0.12,0.0284110164044281,0.0358885149093983
1.018,0.12,0.0310440632063547,0.0271485235957043
1.019,0.12,0.0337039949946946,0.0191228798986112
1.02,0.12,0.0363827671480711,0.0117634762113503
1.021,0.12,0.0390730056617789,0.0050252451997838
1.022,0.12,0.0417679616964646,-0.00113402799116971
1.023,0.12,0.0444614690060896,-0.00675388202594446
1.024,0.12,0.047147904067165,-0.0118713448644423
1.025,0.12,0.0498221487421581,-0.0165210891058252
1.026,0.12,0.0524795553202123,-0.0207355778096741
1.027,0.12,0.0551159137879388,-0.0245452013763805
1.028,0.12,0.0577274211920681,-0.0279784060331189
1.029,0.12,0.0603106529642289,-0.0310618144384011
1.03,0.12,0.0628625360860762,-0.0338203388868978
1.031,0.12,0.0653803239804706,-0.0362772875668102
1.032,0.12,0.0678615730214192,-0.0384544642944657
1.033,0.12,0.0703041205620827,-0.0403722621248855
1.034,0.12,0.0727060643863326,-0.0420497512127323
1.035,0.12,0.0750657434951518,-0.0435047612751848
1.036,0.12,0.0773817201446218,-0.0447539589868286
1.037,0.12,0.0796527630573591,-0.0458129206164959
1.038,0.12,0.0818778317340653,-0.0466962001970658
1.039,0.12,0.0840560617963713,-0.0474173935014683
1.04,0.12,0.086186751296386,-0.0479891980814508
1.041,0.12,0.0882693479323389,-0.0484234696100007
1.042,0.12,0.0903034371134388,-0.0487312747536074
1.043,0.12,0.0922887308205724,-0.0489229407867354
1.044,0.12,0.0942250572127595,-0.0490081021479097
1.045,0.12,0.0961123509323688,-0.0489957441246395
1.04599999999999,0.12,0.0979506440649949,-0.0488942438429681
1.04699999999999,0.12,0.0997400577126247,-0.0487114087267038
1.04799999999999,0.12,0.10148079414127,-0.0484545125813024
1.04899999999999,0.12,0.103173129466648,-0.0481303294479071
1.04999999999999,0.12,0.104817406843732,-0.0477451653641629
1.05099999999999,0.12,0.106414030128131,-0.0473048881600756
1.05199999999999,0.12,0.107963457979207,-0.0468149554093517
1.05299999999999,0.12,0.109466198376735,-0.0462804406492927
1.05399999999999,0.12,0.110922803524637,-0.0457060579754139
1.05499999999999,0.12,0.112333865116973,-0.0450961851104636
1.05599999999999,0.12,0.113700009942905,-0.0444548850414343
1.05699999999999,0.12,0.115021895808802,-0.043785926312432
1.05799999999999,0.12,0.116300207757012,-0.0430928020559015
1.05899999999999,0.12,0.117535654562089,-0.0423787478396649
1.05999999999999,0.12,0.118728965486479,-0.0416467584024906
1.06099999999999,0.12,0.119880887278769,-0.0408996033464706
1.06199999999999,0.12,0.120992181398676,-0.0401398418503035
1.06299999999999,0.12,0.122063621453918,-0.0393698364636651
1.06399999999999,0.12,0.123095990835072,-0.0385917660391669
1.06499999999999,0.12,0.12409008053535,-0.0378076378549463
1.06599999999999,0.12,0.125046687143091,-0.0370192989776896
1.06699999999999,0.12,0.125966610995474,-0.0362284469128412
1.06799999999999,0.12,0.126850654482747,-0.035436639585891
1.06899999999999,0.12,0.127699620492875,-0.0346453046959491
1.06999999999999,0.12,0.128514310987193,-0.0338557484802916
1.07099999999999,0.12,0.129295525698213,-0.0330691639261963
1.07199999999999,0.12,0.130044060941316,-0.0322866384641624
1.07299999999999,0.12,0.13076070853256,-0.0315091611745209
1.07399999999999,0.12,0.13144625480535,-0.0307376295374834
1.07499999999999,0.12,0.132101479719155,-0.0299728557548353
1.07599999999999,0.12,0.1327271560539,-0.0292155726697534
1.07699999999999,0.12,0.133324048684082,-0.0284664393096043
1.07799999999999,0.12,0.133892913926994,-0.0277260460750559
1.07899999999999,0.12,0.134434498959852,-0.0269949195974076
1.07999999999999,0.12,0.134949541300926,-0.0262735272846982
1.08099999999999,0.12,0.135438768350078,-0.0255622815758917
1.08199999999999,0.12,0.135902896984448,-0.0248615439212576
1.08299999999999,0.12,0.136342633205245,-0.0241716285059507
1.08399999999999,0.12,0.136758671831928,-0.0234928057327507
1.08499999999999,0.12,0.137151696240237,-0.0228253054789452
1.08599999999999,0.12,0.137522378140817,-0.0221693201414162
1.08699999999999,0.12,0.137871377395356,-0.02152500748313
